Fecha,ICA_SO2,ConsultaHospitalariosR,ConsultaHospitalariosC,PM10,PM2_5,SO2,O3,Temperatura,Humedad,VelocidadViento,IngresosHospitalariosR,IngresosHospitalariosC
2020-01-01,2.0,20,5,NA,NA,NA,NA,16.2,NA,0.0,1.0,1.0
2020-01-02,2.0,11,2,12.0,NA,NA,NA,16.9,91.0,1.0,1.0,1.0
2020-01-03,2.0,1,1,NA,NA,NA,NA,18.0,NA,1.1,1.0,1.0
2020-01-04,2.0,20,3,NA,NA,NA,NA,18.0,NA,1.0,1.0,1.0
2020-01-05,2.0,10,4,15.0,NA,NA,NA,18.1,NA,1.0,1.0,1.0
2020-01-06,2.0,1,3,NA,NA,NA,NA,17.5,NA,1.2,1.0,1.0
2020-01-07,2.0,1,1,NA,NA,NA,NA,17.7,NA,1.1,2.0,1.0
2020-01-08,2.0,13,2,22.0,NA,NA,NA,17.7,NA,1.2,1.0,3.0
2020-01-09,2.0,1,1,NA,NA,NA,NA,18.2,NA,1.1,1.0,1.0
2020-01-10,2.0,1,1,NA,NA,NA,NA,18.7,NA,1.0,1.0,1.0
2020-01-11,2.0,1,2,41.0,NA,NA,NA,18.4,NA,1.3,1.0,1.0
2020-01-12,2.0,1,1,NA,NA,NA,NA,18.8,NA,1.1,1.0,1.0
2020-01-13,2.0,6,4,NA,NA,NA,NA,19.1,NA,1.0,1.0,1.0
2020-01-14,3.0,8,26,23.0,NA,NA,NA,19.1,NA,1.1,3.0,3.0
2020-01-15,2.0,10,1,NA,NA,NA,NA,18.0,NA,1.3,1.0,2.0
2020-01-16,3.0,16,1,NA,NA,NA,NA,19.3,NA,1.2,1.0,3.0
2020-01-17,2.0,1,4,18.0,NA,NA,NA,20.4,NA,1.4,2.0,1.0
2020-01-18,2.0,3,5,NA,NA,NA,NA,20.3,NA,1.2,3.0,1.0
2020-01-19,2.0,28,8,NA,NA,NA,NA,19.4,NA,1.0,1.0,1.0
2020-01-20,2.0,12,2,23.0,NA,NA,NA,17.1,NA,1.1,2.0,3.0
2020-01-21,2.0,4,1,21.0,NA,NA,NA,16.8,NA,1.2,1.0,2.0
2020-01-22,1.0,3,1,NA,NA,NA,NA,15.1,NA,1.0,2.0,2.0
2020-01-23,2.0,61,1,18.0,NA,NA,NA,16.8,NA,1.2,1.0,1.0
2020-01-24,2.0,4,1,20.0,NA,NA,NA,17.9,NA,1.2,1.0,1.0
2020-01-25,2.0,1,495,34.0,NA,NA,NA,18.3,NA,1.1,1.0,2.0
2020-01-26,1.0,1,1,9.0,NA,NA,NA,17.3,NA,1.4,1.0,1.0
2020-01-27,1.0,1,2,NA,NA,NA,NA,16.1,NA,1.1,1.0,1.0
2020-01-28,2.0,1,2,NA,NA,NA,NA,16.3,NA,1.2,2.0,2.0
2020-01-29,2.0,2,1,23.0,14.0,NA,NA,17.3,NA,1.1,2.0,1.0
2020-01-30,2.0,24,1,NA,NA,NA,NA,18.1,NA,1.0,1.0,1.0
2020-01-31,2.0,8,14,NA,NA,NA,NA,18.5,NA,1.2,1.0,1.0
2020-02-01,2.0,3,1,19.0,15.0,NA,NA,18.6,NA,1.2,1.0,1.0
2020-02-02,2.0,2,5,NA,NA,NA,NA,18.2,NA,1.1,1.0,1.0
2020-02-03,2.0,26,1,NA,NA,NA,NA,19.0,NA,1.0,1.0,1.0
2020-02-04,2.0,2,1,24.0,12.0,NA,NA,19.0,NA,1.1,2.0,1.0
2020-02-05,3.0,7,5,NA,NA,NA,NA,18.7,NA,1.1,1.0,1.0
2020-02-06,2.0,4,2,NA,NA,NA,NA,18.3,NA,1.1,2.0,1.0
2020-02-07,2.0,2,5,26.0,17.0,NA,NA,18.5,NA,1.3,1.0,1.0
2020-02-08,2.0,1,1,27.0,NA,NA,NA,18.1,NA,1.4,1.0,2.0
2020-02-09,2.0,1,1,NA,NA,NA,NA,17.5,NA,1.6,1.0,2.0
